gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,gender_num
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,0
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Mum,98,1
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,75,1
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35,0
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,1
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,5,1
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,20,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,32,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,12,0
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11,1
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10,1
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,69,0
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,70,0
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,89,1
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,79,1
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,15,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20,0
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,F,Mum,4,0
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,S,Mum,5,0
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88,1
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,90,1
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,F,Mum,86,1
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,S,Mum,90,1
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,F,Mum,78,0
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,S,Mum,70,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,80,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,85,0
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,F,Father,88,0
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,S,Father,89,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,35,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,76,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,65,0
F,Syria,Syria,MiddleSchool,G-07,A,Biology,F,Mum,96,1
F,Syria,Syria,MiddleSchool,G-07,A,Biology,S,Mum,80,1
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,2,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,3,0
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Father,50,0
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Father,53,0
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Mum,70,1
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,59,1
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,78,0
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79,0
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,F,Mum,10,1
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9,1
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,F,Father,98,0
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,S,Father,89,0
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88,0
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,99,0
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,84,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,F,Father,10,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,S,Father,11,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,85,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,80,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,95,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,87,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90,0
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,69,0
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,70,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,72,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,77,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,71,0
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,87,0
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,81,0
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,25,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,29,1
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,45,1
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,39,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,85,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,79,1
M,Iraq,Iraq,MiddleSchool,G-08,A,Chemistry,F,Father,90,0
M,Iraq,Iraq,MiddleSchool,G-08,A,Chemistry,S,Father,80,0
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,F,Father,80,0
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,71,0
M,Iraq,Iraq,MiddleSchool,G-08,A,History,F,Father,72,0
M,Iraq,Iraq,MiddleSchool,G-08,A,History,S,Father,69,0
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,89,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,87,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,9,1
M,Palestine,Jordan,MiddleSchool,G-08,A,History,F,Father,81,0
M,Palestine,Jordan,MiddleSchool,G-08,A,History,S,Father,78,0
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,F,Father,80,0
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,S,Father,85,0
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,2,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,5,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,50,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,55,1
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,30,1
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,35,1
