gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,F,Mum,4
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,S,Mum,5
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,90
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,F,Mum,86
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,S,Mum,90
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,F,Mum,78
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,S,Mum,70
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,80
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,85
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,F,Father,88
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,S,Father,89
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,35
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,76
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,65
F,Syria,Syria,MiddleSchool,G-07,A,Biology,F,Mum,96
F,Syria,Syria,MiddleSchool,G-07,A,Biology,S,Mum,80
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,2
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,3
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Father,50
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Father,53
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Mum,70
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,59
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,78
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,F,Mum,10
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,F,Father,98
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,S,Father,89
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,99
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,84
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,F,Father,10
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,S,Father,11
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,85
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,80
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,95
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,87
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,69
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,70
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,72
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,77
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,71
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,87
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,81
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,25
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,29
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,45
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,39
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,85
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,79
M,Iraq,Iraq,MiddleSchool,G-08,A,Chemistry,F,Father,90
M,Iraq,Iraq,MiddleSchool,G-08,A,Chemistry,S,Father,80
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,F,Father,80
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,71
M,Iraq,Iraq,MiddleSchool,G-08,A,History,F,Father,72
M,Iraq,Iraq,MiddleSchool,G-08,A,History,S,Father,69
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,89
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,87
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,9
M,Palestine,Jordan,MiddleSchool,G-08,A,History,F,Father,81
M,Palestine,Jordan,MiddleSchool,G-08,A,History,S,Father,78
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,F,Father,80
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,S,Father,85
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,2
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,5
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,50
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,55
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,30
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,35
